11: 5:47.   0,24/ 7/2025,5250.0293,-246.1029,94.099998
11: 8:47.   0,24/ 7/2025,5250.0293,-246.1027,94.300003
11:11:47.   0,24/ 7/2025,5250.0293,-246.1026,94.300003
11:14:47.   0,24/ 7/2025,5250.0293,-246.1022,94.300003
11:17:47.   0,24/ 7/2025,5250.0293,-246.1021,94.199997
11:20:47.   0,24/ 7/2025,5250.0293,-246.1022,94.199997
11:23:47.   0,24/ 7/2025,5250.0288,-246.1022,94.300003
11:26:47.   0,24/ 7/2025,5250.0288,-246.1022,94.300003
11:29:47.   0,24/ 7/2025,5250.0288,-246.1025,94.199997
11:32:47.   0,24/ 7/2025,5250.0288,-246.1025,93.900002
11:35:47.   0,24/ 7/2025,5250.0283,-246.1025,93.599998
11:38:47.   0,24/ 7/2025,5250.0288,-246.1034,93.300003
11:41:47.   0,24/ 7/2025,5250.0298,-246.1047,92.900002
11:44:47.   0,24/ 7/2025,5250.0303,-246.1042,92.500000
11:47:47.   0,24/ 7/2025,5250.0298,-246.1041,92.500000
11:50:47.   0,24/ 7/2025,5250.0303,-246.1043,92.599998
11:53:47.   0,24/ 7/2025,5250.0298,-246.1042,92.500000
11:56:47.   0,24/ 7/2025,5250.0298,-246.1040,92.400002
11:59:47.   0,24/ 7/2025,5250.0298,-246.1038,92.400002
12: 2:47.   0,24/ 7/2025,5250.0293,-246.1037,92.300003
12: 5:47.   0,24/ 7/2025,5250.0293,-246.1041,92.099998
12: 8:47.   0,24/ 7/2025,5250.0293,-246.1044,91.900002
12:11:47.   0,24/ 7/2025,5250.0298,-246.1049,91.900002
12:14:47.   0,24/ 7/2025,5250.0293,-246.1050,92.099998
12:17:47.   0,24/ 7/2025,5250.0293,-246.1049,92.099998
12:20:47.   0,24/ 7/2025,5250.0293,-246.1052,92.000000
12:23:47.   0,24/ 7/2025,5250.0288,-246.1058,91.900002
12:26:47.   0,24/ 7/2025,5250.0288,-246.1060,91.900002
12:29:47.   0,24/ 7/2025,5250.0288,-246.1062,92.000000
12:32:47.   0,24/ 7/2025,5250.0283,-246.1061,92.099998
12:35:47.   0,24/ 7/2025,5250.0278,-246.1062,92.300003
12:38:47.   0,24/ 7/2025,5250.0278,-246.1062,92.599998
12:41:47.   0,24/ 7/2025,5250.0278,-246.1060,92.699997
12:44:47.   0,24/ 7/2025,5250.0278,-246.1056,92.800003
12:47:47.   0,24/ 7/2025,5250.0283,-246.1052,92.800003
12:50:47.   0,24/ 7/2025,5250.0283,-246.1039,92.699997
12:53:47.   0,24/ 7/2025,5250.0288,-246.1035,92.500000
12:56:47.   0,24/ 7/2025,5250.0288,-246.1034,92.199997
12:59:47.   0,24/ 7/2025,5250.0293,-246.1032,92.099998
13: 2:47.   0,24/ 7/2025,5250.0293,-246.1030,91.900002
13: 5:47.   0,24/ 7/2025,5250.0293,-246.1031,91.900002
13: 8:47.   0,24/ 7/2025,5250.0293,-246.1030,91.900002
13:11:47.   0,24/ 7/2025,5250.0293,-246.1034,91.800003
13:14:47.   0,24/ 7/2025,5250.0293,-246.1039,91.800003
13:17:47.   0,24/ 7/2025,5250.0298,-246.1047,91.699997
13:20:47.   0,24/ 7/2025,5250.0293,-246.1051,91.699997
13:23:47.   0,24/ 7/2025,5250.0288,-246.1049,91.699997
13:26:47.   0,24/ 7/2025,5250.0288,-246.1048,91.800003
13:29:47.   0,24/ 7/2025,5250.0288,-246.1045,91.699997
13:32:47.   0,24/ 7/2025,5250.0288,-246.1046,91.599998
13:35:47.   0,24/ 7/2025,5250.0288,-246.1043,91.599998
13:38:47.   0,24/ 7/2025,5250.0288,-246.1037,91.699997
13:41:47.   0,24/ 7/2025,5250.0288,-246.1037,91.599998
13:44:47.   0,24/ 7/2025,5250.0288,-246.1038,91.199997
13:47:47.   0,24/ 7/2025,5250.0288,-246.1032,90.800003
13:50:47.   0,24/ 7/2025,5250.0288,-246.1028,90.500000
13:53:47.   0,24/ 7/2025,5250.0288,-246.1024,90.199997
13:56:47.   0,24/ 7/2025,5250.0288,-246.1020,90.000000
13:59:47.   0,24/ 7/2025,5250.0288,-246.1020,90.000000
14: 2:47.   0,24/ 7/2025,5250.0293,-246.1021,90.000000
